"","locality_id","longitude","latitude","OBJECTID","PASITES_ID","NAME","TYPE","SUBTYPE","STATUS","SOURCE","IUCN","OC_NO","ACRES","HECTARES","OC_DATE","DATE_EST","OC_NAME","NOTES","GlobalID","Shape_STAr","Shape_STLe","coords.x1","coords.x2","optional"
"266","L4771587",-115.5713432,51.1712512,"435",5012,"Banff","NP",NA,"OC","41","II",NA,1692721.44138161,685020.06363893,NA,"1885/12/31","Banff National Park of Canada",NA,"{4016F0DE-9849-4667-881A-2A5E0DD992D0}",6850200636.4,754751.511127,-115.5713432,51.1712512,TRUE
"267","L163257",-115.58523,51.182087,"435",5012,"Banff","NP",NA,"OC","41","II",NA,1692721.44138161,685020.06363893,NA,"1885/12/31","Banff National Park of Canada",NA,"{4016F0DE-9849-4667-881A-2A5E0DD992D0}",6850200636.4,754751.511127,-115.58523,51.182087,TRUE
"268","L2474241",-114.2788786,50.6739185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-114.2788786,50.6739185,TRUE
"269","L1470298",-117.2285128,52.2196444,"436",5256,"Jasper","NP",NA,"OC","41","II",NA,2775661.31325855,1123270.28119676,NA,"1907/12/31","Jasper National Park of Canada",NA,"{3301ED3E-F396-4217-AB49-FFC5EE59E63F}",11232702812,838629.98006,-117.2285128,52.2196444,TRUE
"270","L1152366",-118.0592537,52.8850845,"436",5256,"Jasper","NP",NA,"OC","41","II",NA,2775661.31325855,1123270.28119676,NA,"1907/12/31","Jasper National Park of Canada",NA,"{3301ED3E-F396-4217-AB49-FFC5EE59E63F}",11232702812,838629.98006,-118.0592537,52.8850845,TRUE
"271","L1292756",-115.9200096,51.2687892,"435",5012,"Banff","NP",NA,"OC","41","II",NA,1692721.44138161,685020.06363893,NA,"1885/12/31","Banff National Park of Canada",NA,"{4016F0DE-9849-4667-881A-2A5E0DD992D0}",6850200636.4,754751.511127,-115.9200096,51.2687892,TRUE
"272","L1472690",-115.0643089,51.0960556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-115.0643089,51.0960556,TRUE
"273","L3125893",-116.2266827,51.3998482,"435",5012,"Banff","NP",NA,"OC","41","II",NA,1692721.44138161,685020.06363893,NA,"1885/12/31","Banff National Park of Canada",NA,"{4016F0DE-9849-4667-881A-2A5E0DD992D0}",6850200636.4,754751.511127,-116.2266827,51.3998482,TRUE
"274","L365648",-114.6164936,51.4555379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-114.6164936,51.4555379,TRUE
"275","L4465890",-113.467388,50.8517896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.467388,50.8517896,TRUE
