"","locality_id","TYPE"
"1063","L8748338","out"
"1064","L637206","prov"
"1065","L5972795","out"
"1066","L6528765","out"
"1067","L6636248","out"
"1068","L5928753","out"
"1069","L521079","out"
"1070","L4924057","out"
"1071","L5526128","out"
"1072","L711483","out"
"1073","L6257571","out"
"1074","L4419184","out"
"1075","L6146468","out"
"1076","L7701900","prov"
"1077","L6081147","nat"
"1078","L5634131","out"
"1079","L6003590","out"
"1080","L6540220","prov"
"1081","L6064101","out"
"1082","L5754551","out"
"1083","L4612500","prov"
"1084","L4460796","out"
"1085","L5902583","nat"
"1086","L4465991","out"
"1087","L7256765","prov"
"1088","L5785728","out"
"1089","L5487703","out"
"1090","L6003447","out"
"1091","L632092","out"
"1092","L366849","out"
"1093","L6004761","out"
"1094","L2565189","out"
"1095","L7148403","out"
"1096","L5619399","out"
"1097","L6688348","out"
"1098","L5746619","out"
"1099","L5652382","out"
"1100","L8106688","out"
"1101","L389172","out"
"1102","L7266312","out"
"1103","L7745928","nat"
"1104","L7801577","out"
"1105","L2575497","out"
"1106","L7655242","out"
"1107","L7335738","out"
"1108","L3104690","out"
"1109","L7433253","out"
"1110","L7600757","out"
"1111","L7596921","out"
"1112","L7544299","out"
"1113","L9567184","prov"
"1114","L6768406","out"
"1115","L9770253","out"
"1116","L7680402","prov"
"1117","L7582351","out"
"1118","L6474109","out"
"1119","L7871356","out"
"1120","L8066674","nat"
"1121","L7808045","out"
"1122","L6741759","out"
"1123","L4466009","out"
"1124","L4487114","out"
"1125","L7886227","out"
"1126","L7832910","out"
"1127","L7616201","out"
"1128","L7565761","out"
"1129","L7300863","out"
"1130","L7898061","out"
"1131","L7938502","out"
"1132","L7691182","out"
"1133","L7357266","out"
"1134","L7448277","out"
"1135","L7614690","nat"
"1136","L7871337","out"
"1137","L7637014","prov"
"1138","L7680448","prov"
"1139","L7545846","out"
"1140","L7707652","prov"
"1141","L6181905","out"
"1142","L7138743","out"
"1143","L7432291","out"
"1144","L10029281","out"
"1145","L7924774","out"
"1146","L7801178","out"
"1147","L8141866","out"
"1148","L467805","out"
"1149","L7519881","out"
"1150","L6797716","prov"
"1151","L7566897","prov"
"1152","L7979776","prov"
"1153","L7808060","out"
"1154","L7691525","prov"
"1155","L7287553","out"
"1156","L9238604","out"
"1157","L2565581","out"
"1158","L1473841","nat"
"1159","L4686415","out"
"1160","L7941602","out"
"1161","L7817575","nat"
"1162","L7201265","prov"
"1163","L9660638","out"
"1164","L4798171","out"
"1165","L2577450","out"
"1166","L4686426","out"
"1167","L8199569","nat"
"1168","L9499488","nat"
"1169","L7758931","nat"
"1170","L8441853","out"
"1171","L8952004","out"
"1172","L9489586","out"
"1173","L10025986","out"
"1174","L9524417","prov"
"1175","L9707494","out"
"1176","L9689574","out"
"1177","L9716448","out"
"1178","L8921156","out"
"1179","L9844646","nat"
"1180","L9567029","prov"
"1181","L9086279","out"
"1182","L7432409","out"
"1183","L5916882","out"
"1184","L9499470","nat"
"1185","L9716462","out"
"1186","L9707529","out"
"1187","L9528169","out"
"1188","L9557819","prov"
"1189","L9710743","out"
"1190","L8931864","out"
"1191","L8081053","nat"
"1192","L9033533","out"
"1193","L9083145","out"
"1194","L8855302","out"
"1195","L9554558","prov"
"1196","L8937119","out"
"1197","L9789472","prov"
"1198","L9709580","out"
"1199","L9394469","out"
"1200","L9592592","out"
"1201","L9776007","out"
"1202","L9086253","prov"
"1203","L4466018","out"
"1204","L9269302","prov"
"1205","L2465370","out"
"1206","L2577474","out"
"1207","L8669890","out"
"1208","L9427694","out"
"1209","L7998075","out"
"1210","L10027374","out"
"1211","L9372978","out"
"1212","L9154632","out"
"1213","L9524178","out"
"1214","L9861051","out"
"1215","L4466591","out"
"1216","L9754579","prov"
"1217","L9123998","out"
"1218","L542256","out"
"1219","L9086374","prov"
"1220","L2528065","out"
"1221","L9665411","prov"
"1222","L4127324","prov"
"1223","L8476827","out"
"1224","L5068097","out"
"1225","L9453181","prov"
"1226","L8632714","out"
"1227","L4466604","out"
